"","name","street","city"
"119","Camy's","2886 Walnut Grove Rd","Memphis, TN, 38111"
"120","King's Palace Cafe","162 Beale Street","Memphis, TN, 38103"
"121","KFC","7980 Winchester Rd","Memphis, TN, 38125"
"122","Cordelia's","737 Harbor Bend Road","Memphis, TN, 38103"
"123","Rum Boogie Cafe","182 Beale St","Memphis, TN, 38103"
"124","East End Grill","7956 Winchester Road","Memphis, TN, 38125"
"125","Captain D's Seafood","4209 Hacks Cross Rd","Memphis, TN, 38125"
"126","Chez Philippe","149 Union Ave","Memphis, TN, 38103"
"127","KFC","3623 Elvis Presley Blvd","Memphis, TN, 38116"
"128","China Dragon","7960 Winchester Rd","Memphis, TN, 38125"
"129","El Molino","6496 Summer Ave","Memphis, TN, 38134"
"130","KFC","727 South Highland St","Memphis, TN, 38111"
"131","Jack Pirtle's Chicken","4349 Elvis Presley Boulevard","Memphis, TN, 38116"
"132","Erling Jensen The Restaurant","1044 South Yates Road","Memphis, TN, 38119"
"133","Captain D's","2238 Frayser Blvd","Memphis, TN, 38127"
"134","Mayuri Indian Cuisine","6524 Quince Rd","Memphis, TN, 38119"
"135","T. J. Mulligans","2821 Houston Levee Road","Memphis, TN, 38016"
"136","Cicis Pizza","3474 Plaza Ave","Memphis, TN, 38111"
"137","On The Border","8101 Giacosa Pl","Memphis, TN, 38133"
"138","Wendy's","3196 Austin Peay Hwy","Memphis, TN, 38128"
"139","Charlie Vergos Rendezvous","52 S 2nd St","Memphis, TN, 38103"
"140","Blues City Cafe","138 Beale St","Memphis, TN, 38103"
"141","KFC","3215 S. Perkins Rd.","Memphis, TN, 38118"
"142","Max's Sports Bar","115 E Ge Patterson Ave","Memphis, TN, 38150"
"143","Bogie's Delicatessen","2098 Lasalle Pl","Memphis, TN, 38104"
"144","Memphis Pizza Cafe","5061 Park Ave","Memphis, TN, 38117"
"145","Huey's Poplar","4872 Poplar Ave","Memphis, TN, 38117"
"146","Wendy's","6156 Macon Rd","Memphis, TN, 38134"
"147","Huey's Southwind","7825 Winchester Rd","Memphis, TN, 38125"
"148","Spindini","383 South Main Street","Memphis, TN, 38103"
"149","Celtic Crossing","903 Cooper St","Memphis, TN, 38104"
"150","IHOP","2810 Wolfcreek Pkwy","Memphis, TN, 38133"
